 10	 3	 29
 -12	 -3	 29
 -4	 -8	 29
 8	 -2	 29
 9	 -7	 29
 -12	 2	 29
 -1	 -7	 29
 -3	 -1	 29
 -1	 4	 29
 7	 -8	 29
 -8	 0	 29
 5	 10	 29
 4	 8	 29
 -3	 -4	 29
 -8	 11	 29
 0	 -12	 29
 12	 4	 29
 4	 7	 29
 4	 9	 29
 -5	 6	 29
 -2	 10	 29
 -11	 3	 29
 -11	 1	 29
 1	 12	 29
 7	 -1	 29
 9	 -3	 29
 -4	 9	 29
 -7	 5	 29
 -5	 -5	 29
 11	 4	 29
 10	 1	 29
 4	 11	 29
 1	 11	 29
 2	 -11	 29
 6	 8	 29
 -4	 3	 29
 -3	 -3	 29
 5	 13	 29
 -3	 1	 29
 8	 6	 29
 3	 -3	 29
 -3	 13	 29
 7	 8	 29
 -5	 13	 29
 8	 -10	 29
 -9	 -2	 29
 9	 0	 29
 -5	 -6	 29
 -1	 7	 29
 2	 -5	 29
 1	 2	 29
 -11	 5	 29
 3	 -9	 29
 -8	 -6	 29
 6	 -7	 29
 8	 10	 29
 -10	 8	 29
 -8	 2	 29
 -7	 -1	 29
 0	 -4	 29
 7	 5	 29
 -1	 11	 29
 7	 12	 29
 -11	 4	 29
 11	 -2	 29
 -1	 -9	 29
 3	 12	 29
 12	 7	 29
 -2	 -12	 29
 6	 -9	 29
 -4	 2	 29
 -3	 7	 29
 3	 3	 29
 -2	 -6	 29
 0	 -6	 29
 -2	 13	 29
 -7	 9	 29
 -13	 -4	 29
 -5	 4	 29
 -9	 0	 29
 4	 10	 29
 -7	 -4	 29
 -7	 -10	 29
 3	 -6	 29
 12	 -4	 29
 -7	 -12	 29
 -12	 4	 29
 4	 5	 29
 1	 -8	 29
 -3	 6	 29
 8	 -6	 29
 -6	 -10	 29
 1	 -9	 29
 13	 -5	 29
 5	 -8	 29
 4	 -6	 29
 8	 -9	 29
 -6	 -8	 29
 1	 -11	 29
 -11	 0	 29
 -12	 7	 29
 -2	 -9	 29
 -4	 -5	 29
 0	 2	 29
 0	 14	 29
 11	 -8	 29
 -12	 -7	 29
 2	 -3	 29
 9	 1	 29
 5	 12	 29
]
[ -7	 9	 29
 -2	 -4	 29
 -10	 -1	 29
 4	 -1	 29
 12	 0	 29
 8	 3	 29
 5	 -11	 29
 3	 5	 29
 -6	 11	 29
 9	 -4	 29
 10	 -8	 29
 4	 -5	 29
 8	 0	 29
 -1	 9	 29
 -8	 6	 29
 1	 12	 29
 7	 12	 29
 -6	 2	 29
 11	 -4	 29
 -12	 -5	 29
 6	 -9	 29
 6	 8	 29
 9	 -8	 29
 10	 -1	 29
 3	 -9	 29
 7	 6	 29
 -8	 1	 29
 2	 5	 29
 -12	 -1	 29
 -10	 2	 29
 8	 11	 29
 10	 -3	 29
 -4	 8	 29
 0	 1	 29
 11	 0	 29
 -9	 -1	 29
 4	 9	 29
 -4	 6	 29
 -11	 7	 29
 1	 9	 29
 -10	 6	 29
 6	 -4	 29
 7	 9	 29
 12	 4	 29
 -9	 -3	 29
 -9	 -5	 29
 10	 6	 29
 0	 -9	 29
 3	 13	 29
 6	 4	 29
 3	 11	 29
 5	 9	 29
 4	 13	 29
 -3	 8	 29
 5	 6	 29
 9	 6	 29
 6	 -7	 29
 2	 -6	 29
 -9	 -10	 29
 -1	 4	 29
 11	 -3	 29
 4	 -4	 29
 13	 -3	 29
 5	 -13	 29
 13	 -4	 29
 7	 2	 29
 -3	 -5	 29
 3	 8	 29
 10	 -9	 29
 3	 0	 29
 -5	 3	 29
 -1	 3	 29
 5	 -7	 29
 4	 6	 29
 3	 7	 29
 8	 8	 29
 13	 2	 29
 -7	 0	 29
 -13	 -3	 29
 1	 8	 29
 2	 -2	 29
 3	 2	 29
 -3	 12	 29
 -5	 -7	 29
 0	 0	 29
 -8	 -4	 29
 1	 1	 29
 4	 11	 29
 13	 0	 29
 -13	 2	 29
 -1	 2	 29
 -5	 -1	 29
 10	 1	 29
 9	 5	 29
 -7	 4	 29
 -11	 8	 29
 10	 -7	 29
 -8	 8	 29
 -13	 0	 29
 6	 -2	 29
 3	 -10	 29
 8	 -3	 29
 -2	 -8	 29
 9	 10	 29
 4	 -7	 29
 -10	 3	 29
 1	 0	 29
 -12	 -6	 29
 9	 -9	 29
 1	 11	 29
 7	 -4	 29
 6	 12	 29
 1	 3	 29
 9	 8	 29
 -6	 -6	 29
 11	 5	 29
 12	 2	 29
 -6	 8	 29
 2	 0	 29
 3	 4	 29
 2	 8	 29
 7	 -8	 29
 -6	 -12	 29
 5	 11	 29
 6	 2	 29
 11	 -7	 29
 -4	 -1	 29
 8	 -11	 29
 -11	 -7	 29
 -13	 3	 29
 -4	 10	 29
 -2	 5	 29
 7	 1	 29
 8	 9	 29
 7	 -6	 29
 -12	 2	 29
 9	 7	 29
 0	 -13	 29
 -4	 -11	 29
 -3	 -4	 29
 6	 9	 29
 5	 4	 29
 -6	 6	 29
 11	 -1	 29
 -12	 -2	 29
 -2	 -7	 29
 2	 3	 29
 -9	 -8	 29
 -3	 -8	 29
 1	 -12	 29
 -11	 -3	 29
 7	 10	 29
 6	 0	 29
 1	 6	 29
 12	 -3	 29
 10	 8	 29
 -12	 5	 29
 3	 -5	 29
 11	 6	 29
 -2	 -6	 29
 12	 1	 29
 0	 -7	 29
 7	 3	 29
 -11	 -6	 29
 -10	 4	 29
 8	 7	 29
 -13	 -2	 29
 11	 4	 29
 -2	 3	 29
 8	 4	 29
 -3	 2	 29
 4	 -9	 29
 10	 4	 29
 5	 7	 29
 -4	 13	 29
 3	 -13	 29
 -6	 -7	 29
 0	 -2	 29
 5	 2	 29
 -11	 -5	 29
 1	 -3	 29
 -3	 -1	 29
 -2	 -10	 29
 -5	 6	 29
 -1	 -13	 29
 -1	 13	 29
 3	 6	 29
 -3	 -10	 29
 12	 -1	 29
 11	 8	 29
 -4	 -7	 29
 6	 -11	 29
 -1	 -3	 29
 -4	 -6	 29
 4	 8	 29
 -7	 5	 29
 9	 -5	 29
 -11	 -2	 29
 -2	 2	 29
 -12	 -3	 29
 5	 5	 29
 -7	 6	 29
 6	 10	 29
 1	 -4	 29
 -10	 7	 29
 11	 3	 29
 11	 2	 29
 -1	 7	 29
 -3	 10	 29
 6	 6	 29
 -10	 -7	 29
 -1	 5	 29
 1	 -5	 29
 -1	 12	 29
 -1	 -4	 29
 9	 -1	 29
 -7	 11	 29
 -11	 -4	 29
 -2	 0	 29
 13	 4	 29
 -8	 -7	 29
 -2	 4	 29
 0	 -4	 29
 -6	 0	 29
 -2	 -11	 29
 9	 2	 29
 0	 11	 29
 -1	 -6	 29
 -8	 -8	 29
 -8	 7	 29
 -2	 8	 29
 4	 -2	 29
 -6	 3	 29
 0	 13	 29
 0	 -8	 29
 6	 -12	 29
 4	 -10	 29
 -5	 2	 29
 -4	 12	 29
 0	 -3	 29
 -6	 4	 29
 -4	 -4	 29
 8	 -8	 29
 3	 1	 29
 -10	 5	 29
 1	 5	 29
 1	 -7	 29
 8	 -5	 29
 -12	 3	 29
 3	 -1	 29
 -5	 8	 29
 -1	 -11	 29
 -1	 -8	 29
 -10	 -6	 29
 4	 4	 29
 -5	 9	 29
 -5	 -10	 29
 0	 3	 29
 -2	 11	 29
 -7	 2	 29
 -2	 1	 29
 -5	 1	 29
 -9	 -7	 29
 10	 3	 29
 10	 -4	 29
 -8	 -1	 29
 -8	 4	 29
 2	 -13	 29
 8	 -2	 29
 -3	 0	 29
 12	 5	 29
 3	 10	 29
 0	 10	 29
 10	 9	 29
 -14	 0	 29
 6	 -5	 29
 -12	 6	 29
 -8	 -5	 29
 5	 10	 29
 10	 0	 29
 -6	 9	 29
 -9	 3	 29
 10	 -6	 29
 5	 -10	 29
 -6	 1	 29
 -7	 7	 29
 -3	 -9	 29
 12	 -7	 29
 0	 -6	 29
 2	 -8	 29
 8	 2	 29
 10	 -5	 29
 5	 -12	 29
 2	 -7	 29
 5	 -4	 29
 4	 -8	 29
 -4	 -12	 29
 -2	 -12	 29
 5	 0	 29
 4	 -13	 29
 -8	 10	 29
 -1	 -2	 29
 -9	 -4	 29
 -12	 -4	 29
 -7	 8	 29
 1	 -10	 29
 9	 9	 29
 -4	 1	 29
 8	 -1	 29
 -1	 -1	 29
 -6	 -4	 29
 8	 5	 29
 5	 -3	 29
 -1	 6	 29
 -5	 10	 29
 13	 5	 29
 -2	 -3	 29
 9	 -7	 29
 -12	 1	 29
 -5	 -13	 29
 0	 5	 29
 -11	 -8	 29
 2	 -10	 29
 2	 6	 29
 -2	 10	 29
 -10	 -3	 29
 -1	 1	 29
 -13	 1	 29
 10	 5	 29
 14	 0	 29
 -3	 -3	 29
 10	 2	 29
 3	 -11	 29
 -7	 12	 29
 -9	 6	 29
 0	 -12	 29
 2	 4	 29
 5	 8	 29
 9	 0	 29
 -6	 -3	 29
 -4	 0	 29
 6	 -10	 29
 6	 -8	 29
 -8	 3	 29
 -3	 11	 29
 -1	 11	 29
 -5	 12	 29
 -3	 -7	 29
 -2	 6	 29
 -2	 -13	 29
 -4	 5	 29
 7	 -2	 29
 -4	 -2	 29
 2	 13	 29
 -9	 -6	 29
 7	 -11	 29
 -2	 9	 29
 3	 9	 29
 -4	 3	 29
 1	 10	 29
 0	 8	 29
 7	 -7	 29
 0	 -11	 29
 -11	 -1	 29
 5	 -6	 29
 0	 -1	 29
 -8	 -11	 29
 4	 3	 29
 -5	 -9	 29
 -3	 -12	 29
 -9	 1	 29
 -2	 -1	 29
 -5	 -4	 29
 -2	 7	 29
 2	 -1	 29
 -10	 -8	 29
 -6	 -1	 29
 -6	 -11	 29
 11	 -2	 29
 -5	 13	 29
 -1	 -9	 29
 2	 -12	 29
 -3	 -13	 29
 13	 1	 29
 -5	 -12	 29
 -6	 -5	 29
 5	 -1	 29
 1	 4	 29
 -7	 -8	 29
 6	 1	 29
 7	 11	 29
 -10	 0	 29
 -7	 -7	 29
 13	 3	 29
 -7	 10	 29
 8	 6	 29
 -5	 11	 29
 7	 -5	 29
 -9	 9	 29
 6	 5	 29
 3	 -2	 29
 4	 -12	 29
 -3	 4	 29
 0	 -10	 29
 9	 -10	 29
 -7	 -1	 29
 -8	 -2	 29
 9	 -6	 29
 13	 -1	 29
 8	 1	 29
 -7	 1	 29
 9	 3	 29
 8	 -4	 29
 -7	 3	 29
 1	 -13	 29
 11	 1	 29
 -4	 4	 29
 -3	 3	 29
 -4	 7	 29
 -7	 -2	 29
 -10	 -9	 29
 -5	 -3	 29
 12	 -6	 29
 -5	 -11	 29
 -9	 8	 29
 3	 -8	 29
 -8	 5	 29
 -4	 11	 29
 -3	 13	 29
 6	 -3	 29
 -5	 7	 29
 2	 2	 29
 -3	 7	 29
 -5	 -8	 29
 -8	 -3	 29
 7	 -12	 29
 -13	 -1	 29
 -7	 -11	 29
 -4	 9	 29
 2	 7	 29
 2	 12	 29
 -3	 -6	 29
 -8	 -10	 29
 -10	 1	 29
 4	 0	 29
 -8	 9	 29
 2	 -9	 29
 2	 10	 29
 2	 -11	 29
 -11	 6	 29
 -10	 9	 29
 -13	 4	 29
 -1	 0	 29
 7	 -1	 29
 11	 -5	 29
 2	 1	 29
 5	 3	 29
 1	 -6	 29
 5	 -5	 29
 -2	 -5	 29
 4	 1	 29
 -6	 7	 29
 6	 11	 29
 4	 -3	 29
 -8	 -6	 29
 4	 12	 29
 7	 -9	 29
 3	 -4	 29
 -3	 5	 29
 0	 7	 29
 -11	 4	 29
 -6	 -2	 29
 8	 -9	 29
 1	 -8	 29
 5	 -8	 29
 -9	 0	 29
 11	 -6	 29
 -9	 -9	 29
 4	 5	 29
 1	 -11	 29
 -3	 6	 29
 -7	 -12	 29
 8	 -6	 29
 1	 -9	 29
 -7	 -10	 29
 4	 -6	 29
 12	 -4	 29
 -12	 0	 29
 4	 10	 29
 -13	 -4	 29
 -6	 -9	 29
 -6	 5	 29
 11	 -8	 29
 -5	 -5	 29
 -1	 -10	 29
 1	 13	 29
 9	 1	 29
 1	 2	 29
 -12	 -7	 29
 -12	 7	 29
 5	 13	 29
 2	 -3	 29
]
[ 7	 8	 29
 9	 9	 29
 -6	 12	 29
 -9	 5	 29
 10	 4	 29
 -6	 11	 29
 3	 -1	 29
 -11	 0	 29
 -7	 -2	 29
 0	 2	 29
 9	 2	 29
 5	 1	 29
 -7	 -4	 29
 -2	 -9	 29
 -4	 7	 29
 -9	 -3	 29
 2	 -8	 29
 -3	 7	 29
 12	 1	 29
 -10	 1	 29
 -3	 -7	 29
 -3	 3	 29
 10	 -7	 29
 -11	 3	 29
 0	 14	 29
 10	 -1	 29
 -6	 -12	 29
 -4	 -2	 29
 -10	 -8	 29
 5	 -10	 29
 11	 3	 29
 0	 -14	 29
 6	 -1	 29
 11	 7	 29
 -3	 10	 29
 9	 -1	 29
 7	 -10	 29
 -4	 4	 29
 -4	 6	 29
 10	 -6	 29
 -6	 -11	 29
 -7	 4	 29
 -8	 -6	 29
 -5	 0	 29
 4	 -2	 29
 -2	 -11	 29
 -4	 12	 29
 11	 -4	 29
 -4	 1	 29
 -10	 6	 29
 -9	 7	 29
 8	 -5	 29
 6	 -8	 29
 7	 -2	 29
 4	 -5	 29
 -6	 4	 29
 8	 6	 29
 -5	 7	 29
 -7	 -6	 29
 0	 -8	 29
 -13	 0	 29
 -1	 2	 29
 10	 -4	 29
 -7	 1	 29
 0	 -11	 29
 -9	 3	 29
 -2	 -7	 29
 1	 0	 29
 3	 -2	 29
 -12	 6	 29
 -2	 0	 29
 3	 -7	 29
 9	 -5	 29
 11	 6	 29
 1	 -12	 29
 -6	 10	 29
 -4	 13	 29
 -13	 3	 29
 -13	 -2	 29
 -2	 4	 29
 5	 12	 29
 -9	 -2	 29
 -9	 10	 29
 -1	 6	 29
 -9	 -5	 29
 4	 0	 29
 6	 10	 29
 0	 12	 29
 11	 5	 29
 13	 5	 29
 -7	 -7	 29
 8	 -8	 29
 -7	 6	 29
 -10	 -9	 29
 5	 -13	 29
 -10	 8	 29
 8	 10	 29
 -4	 -7	 29
 7	 4	 29
 7	 -1	 29
 3	 -9	 29
 4	 -10	 29
 -11	 -5	 29
 -5	 -8	 29
 1	 9	 29
 -9	 2	 29
 13	 -1	 29
 -12	 -6	 29
 10	 3	 29
 -1	 7	 29
 -3	 -13	 29
 -3	 4	 29
 -2	 3	 29
 -1	 -5	 29
 11	 2	 29
 11	 -5	 29
 -8	 9	 29
 -5	 12	 29
 -5	 8	 29
 6	 -7	 29
 -11	 -3	 29
 8	 2	 29
 11	 -7	 29
 6	 12	 29
 13	 1	 29
 -2	 -8	 29
 1	 6	 29
 -4	 9	 29
 -13	 1	 29
 -4	 2	 29
 -10	 3	 29
 -5	 -1	 29
 -9	 -1	 29
 -10	 -2	 29
 -1	 9	 29
 7	 -3	 29
 -5	 1	 29
 12	 -1	 29
 -4	 -12	 29
 -6	 9	 29
 2	 -10	 29
 10	 7	 29
 -1	 12	 29
 7	 0	 29
 4	 7	 29
 -9	 8	 29
 5	 -7	 29
 -1	 -7	 29
 -12	 4	 29
 -2	 -4	 29
 -4	 3	 29
 -4	 5	 29
 13	 0	 29
 -11	 -7	 29
 -5	 10	 29
 -1	 -8	 29
 6	 3	 29
 4	 -9	 29
 12	 -2	 29
 4	 -12	 29
 -5	 5	 29
 -13	 -3	 29
 2	 -1	 29
 -3	 9	 29
 2	 -12	 29
 6	 -4	 29
 -3	 13	 29
 3	 7	 29
 -12	 -5	 29
 1	 -3	 29
 5	 9	 29
 -7	 9	 29
 0	 1	 29
 -11	 -6	 29
 -3	 -3	 29
 13	 -3	 29
 -13	 -1	 29
 7	 9	 29
 1	 -6	 29
 -8	 4	 29
 6	 11	 29
 9	 -6	 29
 -11	 1	 29
 9	 4	 29
 4	 -13	 29
 5	 7	 29
 2	 12	 29
 -5	 2	 29
 8	 11	 29
 -5	 3	 29
 1	 8	 29
 3	 3	 29
 -4	 10	 29
 8	 8	 29
 -2	 7	 29
 0	 -10	 29
 -8	 2	 29
 0	 -5	 29
 2	 9	 29
 4	 11	 29
 5	 3	 29
 5	 -5	 29
 1	 7	 29
 -1	 -13	 29
 -14	 0	 29
 2	 13	 29
 -8	 10	 29
 12	 -5	 29
 10	 -3	 29
 10	 1	 29
 2	 1	 29
 7	 6	 29
 3	 4	 29
 1	 4	 29
 -7	 -3	 29
 3	 -11	 29
 4	 4	 29
 -1	 10	 29
 9	 6	 29
 -2	 10	 29
 5	 10	 29
 0	 4	 29
 -12	 1	 29
 10	 5	 29
 8	 0	 29
 2	 3	 29
 3	 12	 29
 -5	 -6	 29
 7	 -5	 29
 3	 -5	 29
 12	 4	 29
 9	 -3	 29
 7	 -7	 29
 1	 5	 29
 -3	 -10	 29
 11	 -2	 29
 -7	 7	 29
 8	 -10	 29
 -9	 -7	 29
 -5	 -2	 29
 0	 -7	 29
 -7	 8	 29
 -4	 -13	 29
 4	 3	 29
 0	 6	 29
 -8	 -2	 29
 -6	 -10	 29
 1	 -2	 29
 -4	 0	 29
 2	 -9	 29
 12	 0	 29
 -7	 10	 29
 -8	 -9	 29
 12	 -3	 29
 3	 -6	 29
 12	 2	 29
 -8	 3	 29
 10	 -9	 29
 -10	 -7	 29
 -1	 13	 29
 0	 -13	 29
 8	 -1	 29
 0	 5	 29
 5	 -3	 29
 10	 -2	 29
 -7	 2	 29
 4	 2	 29
 -4	 -3	 29
 13	 -2	 29
 -8	 -10	 29
 -7	 0	 29
 3	 -3	 29
 2	 -11	 29
 3	 10	 29
 -3	 5	 29
 -9	 -4	 29
 9	 -7	 29
 6	 -10	 29
 -13	 5	 29
 -12	 -3	 29
 1	 11	 29
 -8	 11	 29
 -4	 -11	 29
 7	 12	 29
 12	 6	 29
 -11	 -2	 29
 5	 6	 29
 6	 8	 29
 3	 6	 29
 -7	 -9	 29
 7	 -9	 29
 -3	 0	 29
 -8	 -4	 29
 -4	 -4	 29
 -7	 -5	 29
 8	 -11	 29
 -5	 -4	 29
 7	 7	 29
 -2	 8	 29
 2	 -4	 29
 -4	 -9	 29
 -10	 -3	 29
 -10	 -6	 29
 3	 -10	 29
 2	 7	 29
 -10	 7	 29
 -6	 -8	 29
 11	 -1	 29
 8	 1	 29
 -9	 -8	 29
 12	 3	 29
 5	 2	 29
 -7	 -11	 29
 -1	 -6	 29
 -8	 6	 29
 -6	 1	 29
 -1	 -12	 29
 12	 -7	 29
 5	 -6	 29
 -6	 0	 29
 3	 5	 29
 4	 -3	 29
 7	 2	 29
 -2	 2	 29
 10	 2	 29
 -5	 6	 29
 -5	 -11	 29
 -5	 4	 29
 4	 9	 29
 4	 13	 29
 -9	 -6	 29
 13	 -5	 29
 -4	 -8	 29
 -1	 -9	 29
 -5	 11	 29
 4	 -11	 29
 -11	 6	 29
 -6	 8	 29
 12	 7	 29
 -5	 -12	 29
 -2	 -3	 29
 4	 -4	 29
 -11	 5	 29
 -6	 2	 29
 5	 -9	 29
 10	 -5	 29
 2	 8	 29
 -2	 -2	 29
 -10	 5	 29
 0	 9	 29
 3	 9	 29
 5	 -2	 29
 -3	 8	 29
 -12	 -1	 29
 4	 12	 29
 -4	 -1	 29
 9	 -2	 29
 0	 0	 29
 9	 10	 29
 7	 5	 29
 8	 -3	 29
 -3	 -11	 29
 1	 -1	 29
 6	 2	 29
 2	 0	 29
 7	 10	 29
 -10	 -4	 29
 -1	 -11	 29
 -8	 -11	 29
 -8	 -7	 29
 -1	 -3	 29
 1	 1	 29
 -6	 -4	 29
 -3	 -4	 29
 -11	 2	 29
 9	 -8	 29
 0	 -2	 29
 -9	 4	 29
 -3	 -8	 29
 8	 4	 29
 -8	 -5	 29
 0	 -1	 29
 -1	 11	 29
 -3	 -2	 29
 0	 11	 29
 -8	 -8	 29
 -10	 0	 29
 -13	 -5	 29
 6	 -2	 29
 -6	 6	 29
 -8	 7	 29
 -2	 12	 29
 5	 5	 29
 8	 5	 29
 5	 -4	 29
 4	 -8	 29
 -9	 1	 29
 -9	 9	 29
 -2	 -1	 29
 0	 3	 29
 3	 -8	 29
 13	 2	 29
 6	 1	 29
 -7	 5	 29
 10	 9	 29
 10	 8	 29
 -8	 5	 29
 -12	 2	 29
 13	 4	 29
 8	 -7	 29
 1	 -7	 29
 -3	 1	 29
 13	 3	 29
 -1	 0	 29
 2	 4	 29
 1	 10	 29
 6	 7	 29
 2	 -7	 29
 6	 4	 29
 5	 -11	 29
 9	 -9	 29
 -1	 8	 29
 -9	 6	 29
 7	 11	 29
 7	 -11	 29
 5	 11	 29
 -2	 -12	 29
 9	 -4	 29
 -12	 5	 29
 7	 -12	 29
 -4	 -6	 29
 -1	 3	 29
 -1	 -1	 29
 3	 -12	 29
 -8	 0	 29
 3	 13	 29
 6	 -6	 29
 9	 3	 29
 5	 4	 29
 -10	 -5	 29
 -1	 5	 29
 4	 -1	 29
 0	 -3	 29
 4	 1	 29
 1	 -10	 29
 -1	 -4	 29
 6	 -5	 29
 0	 7	 29
 8	 -4	 29
 4	 8	 29
 -2	 -13	 29
 10	 0	 29
 -4	 11	 29
 7	 -8	 29
 -3	 -5	 29
 2	 11	 29
 3	 1	 29
 -11	 8	 29
 -2	 -6	 29
 11	 1	 29
 1	 3	 29
 12	 5	 29
 7	 -4	 29
 7	 1	 29
 2	 -5	 29
 3	 -13	 29
 -4	 8	 29
 2	 2	 29
 0	 10	 29
 7	 3	 29
 4	 5	 29
 -6	 -2	 29
 4	 -6	 29
 1	 -9	 29
 8	 -6	 29
 -6	 5	 29
 -7	 -12	 29
 -11	 -4	 29
 4	 10	 29
 1	 -11	 29
 11	 -6	 29
 -9	 -9	 29
 5	 -8	 29
 12	 -4	 29
 -9	 0	 29
 -11	 4	 29
 8	 -9	 29
 -12	 -2	 29
 -5	 -10	 29
 1	 -8	 29
 -5	 -9	 29
 -2	 5	 29
 10	 -8	 29
 1	 12	 29
 3	 -4	 29
 9	 0	 29
 0	 -9	 29
 -11	 7	 29
 1	 2	 29
 -4	 -5	 29
 -11	 -8	 29
 5	 13	 29
]
[ 7	 7	 29
 -7	 3	 29
 0	 2	 29
 10	 1	 29
 -13	 5	 29
 -1	 5	 29
 10	 -9	 29
 8	 1	 29
 11	 5	 29
 -2	 -5	 29
 11	 4	 29
 8	 8	 29
 7	 1	 29
 -13	 -1	 29
 -11	 6	 29
 -6	 -1	 29
 8	 3	 29
 -11	 -7	 29
 -4	 -12	 29
 -4	 3	 29
 -3	 -11	 29
 -3	 3	 29
 4	 7	 29
 -9	 6	 29
 7	 11	 29
 5	 -2	 29
 -10	 -3	 29
 0	 13	 29
 7	 3	 29
 -8	 5	 29
 -10	 1	 29
 7	 -10	 29
 -2	 4	 29
 0	 -2	 29
 7	 2	 29
 -3	 -4	 29
 -7	 -2	 29
 1	 -13	 29
 4	 -2	 29
 5	 10	 29
 5	 -12	 29
 -9	 -6	 29
 3	 8	 29
 -14	 0	 29
 3	 12	 29
 1	 3	 29
 -4	 7	 29
 -6	 3	 29
 -5	 -13	 29
 -11	 -6	 29
 7	 -9	 29
 -3	 -12	 29
 5	 5	 29
 -5	 -2	 29
 -13	 0	 29
 5	 -13	 29
 12	 0	 29
 10	 -7	 29
 -3	 -3	 29
 -13	 -2	 29
 5	 8	 29
 2	 -4	 29
 0	 -10	 29
 -3	 8	 29
 -8	 -9	 29
 -6	 -8	 29
 -12	 -7	 29
 5	 -7	 29
 5	 6	 29
 3	 -13	 29
 4	 11	 29
 -8	 -8	 29
 -3	 7	 29
 -10	 -7	 29
 -2	 9	 29
 1	 -2	 29
 13	 -4	 29
 3	 -12	 29
 -9	 -2	 29
 3	 0	 29
 -8	 -2	 29
 8	 0	 29
 7	 -6	 29
 5	 0	 29
 10	 -3	 29
 11	 3	 29
 3	 10	 29
 2	 -6	 29
 6	 -1	 29
 -11	 -3	 29
 12	 -6	 29
 3	 7	 29
 -6	 -7	 29
 10	 -1	 29
 0	 11	 29
 -1	 12	 29
 -10	 -5	 29
 -11	 8	 29
 2	 -13	 29
 8	 -5	 29
 5	 1	 29
 -3	 1	 29
 6	 2	 29
 -7	 -10	 29
 5	 -6	 29
 11	 -4	 29
 3	 -11	 29
 6	 4	 29
 -10	 8	 29
 2	 -7	 29
 -6	 -5	 29
 12	 -1	 29
 4	 -13	 29
 -3	 6	 29
 8	 -3	 29
 -12	 3	 29
 -4	 4	 29
 3	 4	 29
 -2	 -7	 29
 8	 2	 29
 2	 6	 29
 -9	 -4	 29
 -12	 -6	 29
 9	 3	 29
 4	 -8	 29
 -4	 -1	 29
 -2	 8	 29
 -10	 -6	 29
 -1	 -5	 29
 -13	 -4	 29
 5	 -9	 29
 9	 -1	 29
 4	 12	 29
 2	 -10	 29
 -7	 1	 29
 -4	 9	 29
 6	 -8	 29
 -4	 12	 29
 13	 -5	 29
 2	 -9	 29
 -4	 -9	 29
 7	 -3	 29
 -11	 2	 29
 4	 -11	 29
 -1	 0	 29
 -11	 3	 29
 -6	 4	 29
 4	 -3	 29
 -7	 12	 29
 2	 1	 29
 -10	 5	 29
 11	 1	 29
 3	 -1	 29
 2	 3	 29
 -10	 9	 29
 2	 -3	 29
 11	 2	 29
 2	 4	 29
 -6	 -6	 29
 0	 -4	 29
 1	 13	 29
 5	 4	 29
 5	 -1	 29
 9	 -3	 29
 3	 -6	 29
 -3	 2	 29
 1	 10	 29
 -1	 10	 29
 4	 8	 29
 10	 5	 29
 9	 10	 29
 1	 -4	 29
 8	 9	 29
 -9	 2	 29
 4	 -12	 29
 -1	 1	 29
 1	 -5	 29
 12	 5	 29
 0	 9	 29
 9	 -9	 29
 -5	 1	 29
 10	 8	 29
 1	 11	 29
 12	 1	 29
 -7	 -3	 29
 -4	 -13	 29
 -7	 -5	 29
 -10	 2	 29
 -2	 0	 29
 3	 13	 29
 0	 1	 29
 4	 -10	 29
 -12	 0	 29
 4	 2	 29
 2	 7	 29
 -13	 4	 29
 12	 -2	 29
 -4	 11	 29
 10	 -6	 29
 6	 -3	 29
 2	 -1	 29
 6	 6	 29
 -3	 -5	 29
 8	 -10	 29
 7	 -8	 29
 -8	 -3	 29
 4	 -5	 29
 -7	 10	 29
 6	 -4	 29
 -5	 -7	 29
 4	 4	 29
 6	 0	 29
 6	 -11	 29
 13	 -3	 29
 -1	 -8	 29
 1	 6	 29
 5	 -10	 29
 -1	 -13	 29
 4	 -9	 29
 -12	 -5	 29
 -5	 -5	 29
 -3	 10	 29
 -8	 11	 29
 -5	 3	 29
 -8	 8	 29
 -2	 13	 29
 6	 9	 29
 -4	 -8	 29
 -8	 7	 29
 3	 -2	 29
 -1	 -12	 29
 4	 6	 29
 -4	 -3	 29
 -2	 2	 29
 8	 -11	 29
 12	 4	 29
 -1	 -3	 29
 8	 -7	 29
 9	 4	 29
 -2	 -4	 29
 -2	 -1	 29
 -5	 0	 29
 -2	 1	 29
 1	 -7	 29
 -13	 3	 29
 -8	 10	 29
 3	 -8	 29
 -3	 -7	 29
 4	 -7	 29
 -8	 0	 29
 10	 2	 29
 13	 2	 29
 -5	 9	 29
 -1	 2	 29
 -5	 -11	 29
 11	 -5	 29
 -5	 13	 29
 3	 1	 29
 1	 8	 29
 -7	 5	 29
 -7	 11	 29
 9	 7	 29
 -1	 -1	 29
 -1	 -10	 29
 0	 8	 29
 8	 -2	 29
 -3	 -2	 29
 7	 10	 29
 11	 7	 29
 9	 6	 29
 2	 8	 29
 11	 6	 29
 -6	 0	 29
 -2	 11	 29
 12	 -7	 29
 -8	 9	 29
 -2	 10	 29
 -5	 -4	 29
 13	 0	 29
 5	 9	 29
 -7	 9	 29
 -5	 -12	 29
 7	 -2	 29
 9	 -7	 29
 -9	 -5	 29
 8	 -8	 29
 -8	 1	 29
 3	 5	 29
 -3	 11	 29
 8	 10	 29
 -5	 6	 29
 1	 -12	 29
 9	 -6	 29
